Me: 	What's wrong with you!?
                            Me: 	I saw her wandering around the campground and walked her back here.
                            Belle:	Dennis, you surprise me. You're such a gentleman, sometimes.
                            Belle:	Hope I get that kind of treatment one of these days...
                            Me: 	Only if you behave. What happened after she came back?
                            Belle:	I apologized for being a bitch to her and then we went to sleep.
                        Stacy:	*Murmurs* Where fire once fed, I may send it to feed again...
                        Me: 	Well, that's not ominous or anything...
                        Belle:	Stacy, wake up! You're having nightmares again.
                        Me: 	(So, Stacy had another bad dream? So did I... What's going on here?)
                        Narr:	Stacy's eyes spring open and she lets out a scream!
                        Stacy:	Charred Kings demand their tribute!!
                        Narr:	Stacy jumps out of their bed, a look of shock written on her face.
                        Belle:	*Comforting* It's okay... Everything is okay...
                        Belle:	You're okay.
                        Me: 	Stacy, you're safe, it was just a bad dream.
                        Stacy:	Dennis... I saw you. In my... In my dream.
                        Narr:	A sense of foreboding hits you like a punch to the gut.
                        Stacy:	I... I can't...
                        Me: 	Here, drink some water.
                        Narr:	Stacy drinks voraciously, almost like she's trying to cool the fire raging inside of her.
                        Narr:	In a moment, she empties the whole bottle.
                        Stacy:	*Gasp* I needed that, thanks.
                        Narr:	You and Belle gather around Stacy, offering comfort and giving her time to find her bearings.
                        Stacy:	Thank you for allowing me to share the warmth of your bed, Belle. It made the tormenting voices quiet down.
                        Me: 	(So, those two didn't...? Stacy had a nightmare and found comfort in Belle.)
                        Me: 	(Tormenting voices, though?!)
                        Me: 	(Could it be that Stacy is suffering from parasomnia? Night terrors? Wonder if Eve caught that during Stacy's sessions.)
                        Belle:	It's no problem, babe. I'm glad you're feeling better.
                        Me: 	We're both glad you're feeling better.
                        Me: 	Do you remember what the dream was about?
                        Stacy:	Only snippets, I think?
                        Me: 	I don't wanna pressure you into remembering it right now. But, if you do, please come see me.
                        Me: 	(It would be better if she talked with Eve about it, but I need to find out if there's any connection between our dreams.)
                        Stacy:	Okay.
                        Me: 	Also, not to rush you or anything, but Eve wants to see you all at the Community area.
                        Me: 	So, when you feel ready, Emily and I will be waiting for all of you outside.
                        Belle:	We'll be out as soon as we're ready.
                        Me: 	Also, not to rush you or anything, but Eve wants to see you all at the Community area.
                        Me: 	So, when you feel ready, Emily and I will be waiting for all of you outside.
                        Narr:	If you get the chance, that is.
